Agency Name,Type of Agency,County,disqualifies_complaints,restricts_delays_interrogations,gives_officers_unfair_access_to_information,limits_oversight_discipline,requires_city_pay_for_misconduct,erases_misconduct_records,requires_deescalation,bans_chokeholds_and_strangleholds,duty_to_intervene,requires_warning_before_shooting,restricts_shooting_at_moving_vehicles,requires_comprehensive_reporting,requires_exhaust_all_other_means_before_shooting,has_use_of_force_continuum
San Bernardino County Sheriff's Department,Sheriff's Department,San Bernardino County,1,1,1,1,0,1,0,0,0,1,0,0,0,0
San Bernardino Police Department,Police Department,San Bernardino County,1,1,1,0,0,0,1,0,1,1,0,0,0,1
San Diego County Sheriff's Department,Sheriff's Department,San Diego County,1,1,1,1,0,0,1,0,0,1,0,1,1,1
San Diego Police Department,Police Department,San Diego County,1,1,1,1,0,0,0,0,0,1,0,0,1,1
San Francisco Police Department,Police Department,San Francisco County,1,1,1,0,0,0,1,1,1,1,1,1,1,1
San Joaquin County Sheriff's Department,Sheriff's Department,San Joaquin County,1,1,1,0,0,1,0,0,0,0,0,0,0,0
San Jose Police Department,Police Department,Santa Clara County,1,1,1,1,1,0,0,1,0,0,0,0,0,1
San Leandro Police Department,Police Department,Alameda County,1,1,1,1,0,0,0,0,0,0,0,0,0,0
San Luis Obispo County Sheriff's Department,Sheriff's Department,San Luis Obispo County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
San Mateo County Sheriff's Department,Sheriff's Department,San Mateo County,1,1,1,0,0,0,0,0,0,1,0,0,0,0
San Mateo Police Department,Police Department,San Mateo County,1,1,1,0,0,1,0,0,1,1,0,0,0,0
Santa Ana Police Department,Police Department,Orange County,1,1,1,0,1,0,0,0,1,1,0,0,0,0
Santa Barbara County Sheriff's Department,Sheriff's Department,Santa Barbara County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Santa Barbara Police Department,Police Department,Santa Barbara County,1,1,1,0,0,0,0,0,0,1,0,1,0,0
Santa Clara County Sheriff's Department,Sheriff's Department,Santa Clara County,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Santa Clara Police Department,Police Department,Santa Clara County,1,1,1,0,1,0,0,0,1,1,0,0,0,0
Santa Cruz County Sheriff's Department,Sheriff's Department,Santa Cruz County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Santa Cruz Police Department,Police Department,Santa Cruz County,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Santa Maria Police Department,Police Department,Santa Barbara County,1,1,1,0,1,0,0,0,0,1,0,0,0,0
Santa Monica Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,1,0,1,1,0,0,0,0
Santa Rosa Police Department,Police Department,Sonoma County,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Shasta County Sheriff's Department,Sheriff's Department,Shasta County,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Sierra County Sheriff's Department,Sheriff's Department,Sierra County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Simi Valley Police Department,Police Department,Ventura County,1,1,1,0,0,1,0,0,1,1,0,0,0,0
Siskiyou Sheriff's Department,Sheriff's Department,Siskiyou County,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Solano County Sheriff's Department,Sheriff's Department,Solano County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Sonoma County Sheriff's Department,Sheriff's Department,Sonoma County,1,1,1,1,0,0,0,0,0,1,0,0,0,0
South Gate Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
South San Francisco Police Department,Police Department,San Mateo County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Stanislaus County Sheriff's Department,Sheriff's Department,Stanislaus County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Stockton Police Department,Police Department,San Joaquin County,1,1,1,1,0,0,1,0,1,1,0,0,1,0
Sunnyvale Police Department,Police Department,Santa Clara County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Sutter County Sheriff's Department/Coroner,Sheriff's Department,Sutter County,1,1,1,0,0,0,0,0,0,0,1,0,0,1
Tehama County Sheriff's Department,Sheriff's Department,Tehama County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Torrance Police Department,Police Department,Los Angeles County,1,1,1,1,0,0,1,0,1,1,0,0,0,0
Tracy Police Department,Police Department,San Joaquin County,1,1,1,1,1,1,0,0,1,1,0,0,0,0
