Urban area,Motor vehicle,Walk,Tech workers,Insured,Broadband,Median rent,Gini index,College,High school,No high school,Has rapid transit
"El Paso de Robles (Paso Robles)--Atascadero, CA",0.881373303,0.027386341,934,0.935196195,0.901343555,1325,0.4116,0.257577364,0.67272573,0.069696905,No
"Erie, PA",0.898963164,0.034431683,2154,0.94519369,0.812935839,738,0.4762,0.281911916,0.61626388,0.101824205,No
"Eugene, OR",0.809658847,0.051825291,2427,0.934959902,0.858361633,947,0.4797,0.337684175,0.587481723,0.074834102,No
"Evansville, IN--KY",0.928536284,0.018204774,2843,0.930231641,0.799573648,740,0.4837,0.290458774,0.605804157,0.103737069,No
"Fairfield, CA",0.912016074,0.00937641,1180,0.961253812,0.90910854,1624,0.4384,0.270240563,0.588876327,0.14088311,Yes
"Fargo, ND--MN",0.892307435,0.034278357,4033,0.938843365,0.856611172,792,0.4441,0.406012778,0.550401695,0.043585526,No
"Fayetteville, NC",0.870455545,0.06483222,1907,0.898451411,0.849037739,876,0.4365,0.251537102,0.652761805,0.095701093,Yes
"Fayetteville--Springdale--Rogers, AR--MO",0.942847592,0.014444985,6968,0.892216041,0.710333496,820,0.4688,0.359083024,0.496511606,0.14440537,No
"Flagstaff, AZ",0.822591604,0.104149478,934,0.915963298,0.825920559,1291,0.4892,0.473475517,0.484197931,0.042326553,No
"Flint, MI",0.936948743,0.012945776,3398,0.933846268,0.747630687,727,0.4812,0.213004846,0.695676829,0.091318325,No
"Florence, AL",0.958006687,0.007291907,120,0.884735744,0.779110633,671,0.4653,0.269559858,0.632368936,0.098071206,No
"Florence, SC",0.900582066,0.013041236,613,0.910583384,0.799950503,751,0.4768,0.278683901,0.565656091,0.155660008,No
"Fort Collins, CO",0.821077758,0.022653849,6980,0.933758436,0.888805829,1239,0.4468,0.465251621,0.485792946,0.048955433,Yes
"Fort Smith, AR--OK",0.932810509,0.01527197,1153,0.882771207,0.758407905,639,0.4565,0.192264046,0.62421228,0.183523674,No
"Fort Walton Beach--Navarre--Wright, FL",0.905852937,0.018358531,2629,0.884462112,0.864525958,1135,0.4281,0.35657712,0.595521529,0.047901352,Yes
"Fort Wayne, IN",0.933089297,0.011982939,3395,0.923085307,0.858999515,737,0.4358,0.264411449,0.63133008,0.104258471,No
"Frederick, MD",0.889198942,0.024260284,4334,0.949658237,0.927920422,1395,0.3929,0.458654461,0.46119215,0.080153389,Yes
"Fredericksburg, VA",0.862378625,0.028517432,3900,0.922564673,0.925180832,1325,0.4025,0.383754654,0.536664707,0.079580639,Yes
"Fresno, CA",0.919150655,0.011398363,5246,0.930009698,0.829055782,985,0.4813,0.23482812,0.561596994,0.203574886,No
"Gainesville, FL",0.793824572,0.049520145,2601,0.918726858,0.874849822,962,0.5424,0.444640345,0.490619952,0.064739704,No
"Gainesville, GA",0.917411647,0.008466316,766,0.791881904,0.86290411,900,0.4771,0.239784665,0.510646527,0.249568808,No
"Gastonia, NC--SC",0.944234405,0.01387051,2135,0.901416683,0.783197755,790,0.4543,0.216442189,0.634938652,0.14861916,No
"Gilroy--Morgan Hill, CA",0.891082393,0.022347565,1806,0.955904016,0.894865526,1709,0.4505,0.315686929,0.538399947,0.145913125,No
"Grand Forks, ND--MN",0.867684256,0.056141881,723,0.927351218,0.746697854,729,0.5051,0.339791204,0.598003931,0.062204865,No
"Grand Junction, CO",0.894199622,0.039411527,321,0.92054659,0.845744086,923,0.4633,0.241730309,0.669041377,0.089228314,No
"Grand Rapids, MI",0.904312544,0.020494218,10440,0.944766247,0.859561235,885,0.435,0.368933607,0.537846011,0.093220382,No
"Great Falls, MT",0.895228181,0.040766983,575,0.908029197,0.795127103,691,0.4983,0.266005055,0.64449185,0.089503096,No
"Greeley, CO",0.897816283,0.021495965,1868,0.914717668,0.791464618,973,0.4146,0.241808094,0.58195396,0.176237946,No
"Green Bay, WI",0.911464194,0.022748721,3152,0.947338746,0.856628284,752,0.439,0.331731277,0.573195397,0.095073326,No
"Greensboro, NC",0.898294634,0.016038417,3725,0.90632823,0.697717675,833,0.4814,0.388589628,0.517675521,0.093734851,No
"Greenville, NC",0.919032751,0.016993528,1220,0.927453825,0.858653598,811,0.5076,0.414275083,0.517285705,0.068439213,No
"Greenville, SC",0.908378028,0.018258563,4424,0.879328306,0.817884677,802,0.4863,0.309488573,0.548208944,0.142302482,Yes
"Gulfport, MS",0.927757247,0.042571448,1866,0.857056698,0.818372101,868,0.4401,0.246257636,0.658916292,0.094826072,No
"Hagerstown, MD--WV--PA",0.931434721,0.021825167,3335,0.949904659,0.790003596,939,0.4356,0.22715379,0.648264302,0.124581908,No
"Hammond, LA",0.927455077,0.015183173,268,0.90173677,0.800216333,818,0.4534,0.207575043,0.635322842,0.157102115,No
"Hanford, CA",0.901834031,0.019491173,94,0.93550796,0.85707675,863,0.3828,0.167956081,0.640185811,0.191858108,No
"Hanover, PA",0.895072353,0.045101039,765,0.945405081,0.794546704,926,0.4062,0.236056741,0.649703245,0.114240013,No
"Harlingen, TX",0.892180374,0.031294229,579,0.770240684,0.62065912,665,0.5017,0.163505316,0.524379843,0.312114842,No
"Harrisburg, PA",0.893145282,0.032075584,7447,0.955136391,0.832006929,941,0.4277,0.347037954,0.578111792,0.074850254,Yes
"Harrisonburg, VA",0.83050422,0.086097079,639,0.878538024,0.823945462,892,0.4255,0.38920189,0.441910763,0.168887346,No
"Hartford, CT",0.875823061,0.031918806,17431,0.957094909,0.822537151,1049,0.4636,0.374669185,0.520378537,0.104952279,Yes
"Hattiesburg, MS",0.865841244,0.030980878,759,0.859070766,0.790516535,823,0.4647,0.382698723,0.498799935,0.118501342,No
"Hemet, CA",0.894723149,0.009733403,561,0.902219634,0.845410041,1124,0.4419,0.120423785,0.675621234,0.203954981,No
"Hickory, NC",0.91721064,0.010461733,1040,0.86403598,0.794197064,666,0.4759,0.200499179,0.629888363,0.169612458,No
"High Point, NC",0.9321263,0.017278537,1673,0.885839913,0.821277296,801,0.4381,0.267840296,0.584265499,0.147894205,No
"Hilton Head Island, SC",0.840999734,0.006174481,692,0.8499897,0.884618041,1229,0.5036,0.496300743,0.415852948,0.087846309,No
