,graffiti,illegal,dumping,property,private,"""sc""",side,addition,must,fence,garage,building,overgrown,utility,permit,wall,front,living,rear,structure,"property,",removed,ave.,corner,DESCRIPTION,ADDRESS,lat,long,ID,CLASS
43,0.0,0.008403361344537815,0.0,0.0,0.0,0,0.0,0.03361344537815126,0.0,0.0,0.03361344537815126,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.01680672268907563,0,0.0,0,0.0,"""sc"" Illegal structure on vacant parcel-054281-080 ""Built 1922 4BR 2BA + attached garage. 2 story has studio in back. 3/4/98 USE 97-0023 HIST room addition + garage. Addition of 2nd story, room & enclose carport as garage with substandard setbacks on non-conforming structure on non-conforming parcel. 1/7/00 PLN 2000-00015 Use permit to allow 525 SF addition where 360 SF approved. 9/17/00 MNA 2000-00032 need review of possible parcel merger. 5/12/98 BLD98-0568 addition/enlarge bedroom and change windows. 11/19/99 BLD99-01560 75% addition convert carport to garage. Add 2nd story 2 bed + 1 Ba 75%. 12/28/00 PLM2000-00667 to add fire sprinklers. 10/5/16 CZN: OWNER CAME IN TO DEMOLISH SHED WHICH TURNS OUT IS 300 SQ FT, HE NEEDS THE FULL DEMO","2876 WESTMORELAND AVE, REDWOOD CITY, CA",37.472095,-122.210426,VIO2015-00280,Addition
44,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,Kitchen and Bathroom remodels done without a permit; Possible Garage addition/conversion,"2849 DEVONSHIRE AVE, REDWOOD CITY, CA",37.47198,-122.210803,VIO2016-00384,Addition
45,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0,0.0,0,0.0,"""Appears to have 2 additional units in back; converted garage; extra construction to unit; construction in front setback and a carport under construction. Constant parking problems. Several SWNs regarding 2nd units; House built 1927 1 BR 1 BA 710 SF.""","180 DUMBARTON AVE, REDWOOD CITY, CA",37.472475,-122.211432,VIO2015-00116,Addition
46,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Building without a permit. Garage has additional walls added. Possible electrical too.","186 DUMBARTON AVE, REDWOOD CITY, CA",37.472556,-122.211352,VIO2016-00002,Addition
47,0.0,0.08333333333333333,0.0,0.0,0.0,0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0,0.0,0,0.0,"""sc"" Illegal addition (2nd Unit) at rear of house done without permits","2861 DEVONSHIRE AVE, REDWOOD CITY, CA",37.471886,-122.210656,VIO2016-00503,Addition
48,0.0,0.041666666666666664,0.0,0.0,0.0,0,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"##### SCANNED ##### ""Built 2 car garage. House built 1920 3 BR 1BA 1090 SF"" illegal dwelling addition and small shed next to garage","126 DUMBARTON AVE, REDWOOD CITY, CA",37.471859,-122.212021,VIO2015-00111,Addition
49,0.0,0.038461538461538464,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0,0.0,0,0.0,"""sc"" Garages are converted into living spaces; Excessive vehicles parking on street; Mailbox for illegal unit has ""2800 Marlborough"" on it; (SEE VIO2015-00100 for additional violations.)","112 DUMBARTON AVE, REDWOOD CITY, CA 94063",37.471547,-122.212363,VIO2016-00252,Addition
50,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Nothing in planning files; looks like there are additions at back. House built 1924 2BR 2BA 1530SF","108 DUMBARTON AVE, REDWOOD CITY, CA",37.471349,-122.212567,VIO2015-00096,Addition
51,0.0,0.058823529411764705,0.0,0.0,0.0,0,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0,0.0,0,0.0,There is an illegal addition attached to the garage; The garage has been converted to living space.,"703 3RD AVE, REDWOOD CITY, CA 94063-0000",37.479238,-122.202744,VIO2017-00276,Addition
52,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0,0.0,0,0.0,"Illegal units; Garage being rented as living space; 3 additional rental units on property, most likely built without permits; Parking issues","3017 FAIR OAKS AVE, REDWOOD CITY, CA",37.479254,-122.203196,VIO2016-00140,Addition
53,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0,0.0,0,0.0,ILLEGAL ADDITION AND OTHER STRUCTURES IN REAR OF PROPERTY,"724 3RD AVE, REDWOOD CITY, CA 94063",37.479363,-122.201963,VIO2016-00359,Addition
54,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0,0.0,0,0.0,"""sc"" Illegal 2nd unit in garage; also appears to have an illegal detached accessory structure in rear of property (in addition to detached garage)","3181 FAIR OAKS AVE, REDWOOD CITY, CA",37.478435,-122.20104,VIO2014-00300,Addition
55,0.0,0.1111111111111111,0.0,0.0,0.0,0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"ILLEGAL ADDITION, TRELLIS WITHOUT A PERMIT AND OVER-HEIGHT FENCE.","3257 FAIR OAKS AVE, REDWOOD CITY, CA",37.477822,-122.199591,VIO2016-00224,Addition
56,0.0,0.0,0.0,0.0,0.0,0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0,0.0,0,0.0,"Carport, 2 Accessory structures and possible addition to rear of dwelling done without permits.","617 3RD AVE, REDWOOD CITY, CA",37.47733,-122.203943,VIO2016-00413,Addition
